startdate,enddate,status,progress,duration (in seconds),finished,recordeddate,responseid,distributionchannel,userlanguage,consent,attention,competence_expert,competence_intelligent,competence_qualified,integrity_honest,integrity_ethical,integrity_sincere,benevolence_concerned,benevolence_improve,benevolence_otherinterest,openness_open,openness_transparent,openness_otherviews,impressiveness,condition,prolific_pid,trust,competence,benevolence,integrity,openness,date
2025-11-04 08:31:24,2025-11-04 08:34:40,IP Address,100,196,True,2025-11-04 08:34:41,R_7iqGEJYnyx3TbjK,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,80,74,71,58,54,74,74,78,62,57,65,69,2,random,5ec00f62cf12be40ea6fe344,68,75,71.33333333333333,62,63.666666666666664,"November 04, 2025"
2025-11-04 08:32:12,2025-11-04 08:34:45,IP Address,100,152,True,2025-11-04 08:34:45,R_7pMN0be4c5Hh9HK,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,40,42,49,41,43,42,50,56,50,32,32,42,2,impressive,5cf5ea4dea7a80000156520e,43.25,43.666666666666664,52,42,35.333333333333336,"November 04, 2025"
2025-11-04 08:32:58,2025-11-04 08:34:52,IP Address,100,114,True,2025-11-04 08:34:52,R_1CVEdutfNnm68QW,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,98,97,96,98,100,96,95,100,94,92,96,82,5,combination,63e40cde6487028afe7bec5d,95.33333333333333,97,96.33333333333333,98,90,"November 04, 2025"
2025-11-04 08:30:59,2025-11-04 08:34:54,IP Address,100,234,True,2025-11-04 08:34:54,R_7P6Ymo0KveSseYt,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,91,92,96,92,93,93,74,76,75,81,80,62,3,impressive,5d46c3ac090549001867b746,83.75,93,75,92.66666666666667,74.33333333333333,"November 04, 2025"
2025-11-04 08:32:05,2025-11-04 08:35:04,IP Address,100,179,True,2025-11-04 08:35:04,R_13vNeBLbvq4uVTb,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,95,100,100,100,100,100,100,100,100,95,100,95,3,random,59b2d1e1773f41000148789e,98.75,98.33333333333333,100,100,96.66666666666667,"November 04, 2025"
2025-11-04 08:32:22,2025-11-04 08:35:06,IP Address,100,164,True,2025-11-04 08:35:06,R_7z70z8feqnCP1Wp,anonymous,EN,I give my informed consent to participate in this study.,i pay attention,81,100,100,81,100,100,100,100,50,70,91,70,5,combination,68f13ce0f28b6a3d5110c143,86.91666666666667,93.66666666666667,83.33333333333333,93.66666666666667,77,"November 04, 2025"
2025-11-04 08:32:23,2025-11-04 08:35:09,IP Address,100,165,True,2025-11-04 08:35:09,R_1A5ggeEZcEuzwjL,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,75,50,80,85,90,70,60,80,80,75,85,4,random,64d547d9b24adf35e195b48e,76.66666666666667,71.66666666666667,70,85,80,"November 04, 2025"
2025-11-04 08:31:06,2025-11-04 08:35:09,IP Address,100,243,True,2025-11-04 08:35:10,R_5S0oJQY2JBNG02u,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,100,100,100,100,100,70,60,100,40,5,control,606b6705399a272af8238dad,89.16666666666667,100,90,100,66.66666666666667,"November 04, 2025"
2025-11-04 08:32:39,2025-11-04 08:35:15,IP Address,100,155,True,2025-11-04 08:35:16,R_7tFmGAmSCSnw0P7,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,80,100,77,38,64,40,65,61,61,3,23,21,3,impressive,636d19c8d8a6c6ef4d37ff41,52.75,85.66666666666667,62.333333333333336,47.333333333333336,15.666666666666666,"November 04, 2025"
2025-11-04 08:31:01,2025-11-04 08:35:21,IP Address,100,259,True,2025-11-04 08:35:21,R_1HoewbhJ58HR1kb,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,95,93,94,97,90,95,91,85,93,89,5,impressive,5e29cc3230cf9d03580c34bf,93.5,98.33333333333333,92,94.66666666666667,89,"November 04, 2025"
2025-11-04 08:31:15,2025-11-04 08:35:21,IP Address,100,246,True,2025-11-04 08:35:22,R_1veKHnXmseLHZLC,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,92,89,93,88,88,93,96,99,95,73,97,71,4,control,606f63b3a589ac58f5a74712,89.5,91.33333333333333,96.66666666666667,89.66666666666667,80.33333333333333,"November 04, 2025"
2025-11-04 08:31:42,2025-11-04 08:35:36,IP Address,100,234,True,2025-11-04 08:35:37,R_7FxuCQWwg1ZTtpn,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,75,75,70,80,80,50,50,50,50,60,75,61,2,random,64b74fc78ad5beabe87e901f,64.66666666666667,73.33333333333333,50,70,65.33333333333333,"November 04, 2025"
2025-11-04 08:33:52,2025-11-04 08:35:38,IP Address,100,106,True,2025-11-04 08:35:39,R_18M84n3d1g7V3jt,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,8,30,5,9,10,31,20,20,20,2,0,0,1,combination,5de5538f8fde1c4dbc951498,12.916666666666666,14.333333333333334,20,16.666666666666668,0.6666666666666666,"November 04, 2025"
2025-11-04 08:32:29,2025-11-04 08:35:47,IP Address,100,197,True,2025-11-04 08:35:47,R_7Dp8zAS5ju4GS0B,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,84,86,86,88,88,89,92,90,82,89,88,90,5,control,6369700320bc7dd22e733009,87.66666666666667,85.33333333333333,88,88.33333333333333,89,"November 04, 2025"
2025-11-04 08:33:45,2025-11-04 08:35:49,IP Address,100,123,True,2025-11-04 08:35:50,R_3fz69zZCmvqyaxX,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,92,90,91,91,92,85,93,91,86,79,87,87,5,control,6554dc8ebaafc5c8106b5393,88.66666666666667,91,90,89.33333333333333,84.33333333333333,"November 04, 2025"
2025-11-04 08:33:21,2025-11-04 08:35:54,IP Address,100,153,True,2025-11-04 08:35:54,R_5P0xV9Vf6I2iolb,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,100,100,100,100,100,100,100,100,100,5,control,56cc78e3ccc0e20006b82a7d,100,100,100,100,100,"November 04, 2025"
2025-11-04 08:32:35,2025-11-04 08:35:56,IP Address,100,200,True,2025-11-04 08:35:56,R_7mhTIJpIJSUBORr,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,86,75,82,85,80,77,56,60,66,70,71,73,3,random,68d47ceef9cefe423772219f,73.41666666666667,81,60.666666666666664,80.66666666666667,71.33333333333333,"November 04, 2025"
2025-11-04 08:32:05,2025-11-04 08:36:02,IP Address,100,236,True,2025-11-04 08:36:02,R_7YS0BYUVdbCfZhQ,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,90,95,95,90,95,100,90,80,80,95,70,4,combination,66d1fdd400acfdbc181f41e0,89.16666666666667,91.66666666666667,90,93.33333333333333,81.66666666666667,"November 04, 2025"
2025-11-04 08:33:38,2025-11-04 08:36:06,IP Address,100,147,True,2025-11-04 08:36:07,R_6DqP5A2JIdOG47v,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,100,100,100,100,100,90,100,100,80,4,combination,5c0f500787e876000151fc5f,97.5,100,96.66666666666667,100,93.33333333333333,"November 04, 2025"
2025-11-04 08:32:52,2025-11-04 08:36:09,IP Address,100,196,True,2025-11-04 08:36:09,R_6xFz4NECgNxwfYB,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,50,65,65,50,50,70,80,70,50,50,50,40,2,combination,5c1021a547d07800011a23de,57.5,60,66.66666666666667,56.666666666666664,46.666666666666664,"November 04, 2025"
2025-11-04 08:32:34,2025-11-04 08:36:09,IP Address,100,215,True,2025-11-04 08:36:10,R_7Bghwh7k7tS126e,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,80,80,90,75,75,90,90,75,75,50,75,75,3,control,5a937cb0dbdb470001ee923b,77.5,83.33333333333333,80,80,66.66666666666667,"November 04, 2025"
2025-11-04 08:32:49,2025-11-04 08:36:13,IP Address,100,204,True,2025-11-04 08:36:13,R_1m48WWy0y5j1kF6,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,54,55,50,0,0,18,25,25,13,0,0,11,1,random,59ed2107ae9f950001d848f6,20.916666666666668,53,21,6,3.6666666666666665,"November 04, 2025"
2025-11-04 08:32:44,2025-11-04 08:36:17,IP Address,100,213,True,2025-11-04 08:36:17,R_7y6N6HFZpLhjNyV,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,97,97,97,97,97,97,97,95,90,81,90,91,4,control,5ff07b5ee7a1d23e719e421e,93.83333333333333,97,94,97,87.33333333333333,"November 04, 2025"
2025-11-04 08:31:52,2025-11-04 08:36:17,IP Address,100,265,True,2025-11-04 08:36:18,R_1LvDPr4zhIfQSSl,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,91,100,100,77,100,100,89,84,87,50,88,50,5,combination,66baad4fa89b22f75d2d93e5,84.66666666666667,97,86.66666666666667,92.33333333333333,62.666666666666664,"November 04, 2025"
2025-11-04 08:33:15,2025-11-04 08:36:17,IP Address,100,182,True,2025-11-04 08:36:18,R_7l67HNJQTg8F9ul,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,100,100,100,100,100,95,100,100,100,100,93,5,combination,5a381de00006450001bf2691,98.16666666666667,96.66666666666667,98.33333333333333,100,97.66666666666667,"November 04, 2025"
2025-11-04 08:32:22,2025-11-04 08:36:21,IP Address,100,239,True,2025-11-04 08:36:21,R_7AFLJHnNYHgeuoq,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,95,95,100,95,90,90,90,80,80,80,90,70,4,impressive,671f00bee29372584e53f36c,87.91666666666667,96.66666666666667,83.33333333333333,91.66666666666667,80,"November 04, 2025"
2025-11-04 08:32:20,2025-11-04 08:36:21,IP Address,100,240,True,2025-11-04 08:36:22,R_7ohTFyn0BUlNeoY,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,92,96,88,92,90,94,92,90,95,80,88,85,4,combination,62686fdb4b7b799abadf0303,90.16666666666667,92,92.33333333333333,92,84.33333333333333,"November 04, 2025"
2025-11-04 08:32:57,2025-11-04 08:36:22,IP Address,100,204,True,2025-11-04 08:36:22,R_1wueyA7DgrbOlBK,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,95,100,100,97,100,97,96,100,100,5,combination,6637b21240220c2517fffa1a,98.75,100,98,98.33333333333333,98.66666666666667,"November 04, 2025"
2025-11-04 08:32:29,2025-11-04 08:36:27,IP Address,100,238,True,2025-11-04 08:36:28,R_7JF2lMPqOnXuSpe,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,61,88,60,58,60,59,70,69,69,77,70,50,2,combination,67469dde494c2b78202fc16e,65.91666666666667,69.66666666666667,69.33333333333333,59,65.66666666666667,"November 04, 2025"
2025-11-04 08:32:35,2025-11-04 08:36:37,IP Address,100,242,True,2025-11-04 08:36:37,R_5lSao57JPCHFWvz,anonymous,EN,I give my informed consent to participate in this study.,I pay attention.,100,100,100,100,100,100,100,100,100,100,100,100,5,impressive,615914a33224dc31f1045612,100,100,100,100,100,"November 04, 2025"
2025-11-04 08:33:18,2025-11-04 08:36:40,IP Address,100,202,True,2025-11-04 08:36:41,R_7IYhi9NG3fQWX1n,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,85,88,81,57,59,61,62,59,64,55,65,35,4,combination,5c40134b1580e900012320ab,64.25,84.66666666666667,61.666666666666664,59,51.666666666666664,"November 04, 2025"
2025-11-04 08:32:08,2025-11-04 08:36:46,IP Address,100,278,True,2025-11-04 08:36:47,R_1MgQUUwgXeK6GEQ,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,9,10,11,49,33,34,62,56,41,23,58,20,3,impressive,5d8a1d20d1afcb0019d7390b,33.833333333333336,10,53,38.666666666666664,33.666666666666664,"November 04, 2025"
2025-11-04 08:30:59,2025-11-04 08:36:58,IP Address,100,358,True,2025-11-04 08:36:58,R_6a4wYNvKLzC9HXz,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,100,100,100,100,100,100,100,100,100,5,impressive,5dfb693a73d72487b1fe495b,100,100,100,100,100,"November 04, 2025"
2025-11-04 08:33:21,2025-11-04 08:36:58,IP Address,100,217,True,2025-11-04 08:36:59,R_6s6WGGr8J2A2pRk,anonymous,EN,I give my informed consent to participate in this study.,"I pay attention
",70,90,75,77,80,78,81,82,60,56,71,53,3,combination,672267080a72d592ecaa7a17,72.75,78.33333333333333,74.33333333333333,78.33333333333333,60,"November 04, 2025"
2025-11-04 08:32:46,2025-11-04 08:37:01,IP Address,100,254,True,2025-11-04 08:37:02,R_7sU9o1dvuPzFN8x,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,98,99,96,95,95,95,91,87,82,94,92,96,5,impressive,66114844b8efff4b2af276ec,93.33333333333333,97.66666666666667,86.66666666666667,95,94,"November 04, 2025"
2025-11-04 08:32:47,2025-11-04 08:37:11,IP Address,100,264,True,2025-11-04 08:37:11,R_7OPWEcAJR4PR2lR,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,100,100,100,100,100,100,100,100,100,5,impressive,5e713218e502070551fda159,100,100,100,100,100,"November 04, 2025"
2025-11-04 08:34:18,2025-11-04 08:37:17,IP Address,100,179,True,2025-11-04 08:37:17,R_6fpXY2vx3oyanw7,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,38,50,54,37,41,40,71,69,63,50,50,55,1,random,6650908bd5781d5f55bcfb32,51.5,47.333333333333336,67.66666666666667,39.333333333333336,51.666666666666664,"November 04, 2025"
2025-11-04 08:33:28,2025-11-04 08:37:18,IP Address,100,229,True,2025-11-04 08:37:18,R_679UNwolehJLZyd,anonymous,EN,I give my informed consent to participate in this study.,"""I pay attention""",81,90,85,80,80,90,88,80,75,68,80,75,5,impressive,665d3b8935ef56ce74c4761f,81,85.33333333333333,81,83.33333333333333,74.33333333333333,"November 04, 2025"
2025-11-04 08:32:36,2025-11-04 08:37:26,IP Address,100,289,True,2025-11-04 08:37:26,R_1gKJbssuTpwwZVL,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,96,100,100,100,100,100,100,100,90,5,impressive,6548f960db60a00d76e92695,98.83333333333333,100,100,98.66666666666667,96.66666666666667,"November 04, 2025"
2025-11-04 08:33:09,2025-11-04 08:37:28,IP Address,100,258,True,2025-11-04 08:37:28,R_6bLTDtonDaj5rpf,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,94,94,94,95,95,95,100,100,85,93,95,89,2,combination,66294a4e95c789c953636280,94.08333333333333,94,95,95,92.33333333333333,"November 04, 2025"
2025-11-04 08:35:31,2025-11-04 08:37:36,IP Address,100,125,True,2025-11-04 08:37:36,R_6RUlWVU52zF8RyY,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,94,99,99,86,94,85,100,91,79,77,83,65,5,control,5e14ffee6f6c63b33cf77eb3,87.66666666666667,97.33333333333333,90,88.33333333333333,75,"November 04, 2025"
2025-11-04 08:34:20,2025-11-04 08:37:37,IP Address,100,197,True,2025-11-04 08:37:38,R_6xl5YFsbV2n8Zc5,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,96,91,84,83,83,94,82,85,92,83,85,4,impressive,59f0acf65de9b000017ed914,87.33333333333333,92.33333333333333,87,83.33333333333333,86.66666666666667,"November 04, 2025"
2025-11-04 08:31:09,2025-11-04 08:37:37,IP Address,100,388,True,2025-11-04 08:37:38,R_625R0GTEgFWBHNM,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,64,86,85,70,75,69,77,75,64,70,70,77,2,combination,610a151c96de07b15f28c8cb,73.5,78.33333333333333,72,71.33333333333333,72.33333333333333,"November 04, 2025"
2025-11-04 08:34:47,2025-11-04 08:37:43,IP Address,100,176,True,2025-11-04 08:37:43,R_6WHEt8vhF5BxMPS,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,56,53,75,70,66,67,67,23,51,22,23,14,1,random,66a143fd0f809e6581c2c71e,48.916666666666664,61.333333333333336,47,67.66666666666667,19.666666666666668,"November 04, 2025"
2025-11-04 08:31:51,2025-11-04 08:37:46,IP Address,100,355,True,2025-11-04 08:37:46,R_1FnRYWC5OSmpFaq,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,97,94,91,89,96,90,92,89,87,75,86,79,4,impressive,66d69d42515fac1f2273d10e,88.75,94,89.33333333333333,91.66666666666667,80,"November 04, 2025"
2025-11-04 08:35:11,2025-11-04 08:37:46,IP Address,100,155,True,2025-11-04 08:37:46,R_6fkrlXPdC5OQ36C,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,95,90,92,87,88,92,82,85,81,71,77,75,4,combination,5bf4afe0b8e9f800014c9c0b,84.58333333333333,92.33333333333333,82.66666666666667,89,74.33333333333333,"November 04, 2025"
2025-11-04 08:34:03,2025-11-04 08:37:48,IP Address,100,224,True,2025-11-04 08:37:48,R_7dTodlDdSST4Jq1,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,85,90,90,90,90,95,90,85,90,80,85,85,5,combination,6609eee271e2fa6407181949,87.91666666666667,88.33333333333333,88.33333333333333,91.66666666666667,83.33333333333333,"November 04, 2025"
2025-11-04 08:32:08,2025-11-04 08:37:50,IP Address,100,342,True,2025-11-04 08:37:51,R_51ink6Dd0jRTIPn,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,95,100,82,80,81,60,95,100,85,90,80,90,5,combination,55eb4774748092000baa97ee,86.5,92.33333333333333,93.33333333333333,73.66666666666667,86.66666666666667,"November 04, 2025"
2025-11-04 08:32:53,2025-11-04 08:37:54,IP Address,100,301,True,2025-11-04 08:37:55,R_6ro9aXM6e2ms0se,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,76,73,71,71,71,71,75,90,75,75,76,66,2,random,63b6be87ead45e4fa772fbf5,74.16666666666667,73.33333333333333,80,71,72.33333333333333,"November 04, 2025"
2025-11-04 08:34:18,2025-11-04 08:38:00,IP Address,100,222,True,2025-11-04 08:38:01,R_5J59rvozeboxi2S,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,89,89,86,100,100,86,82,88,50,5,impressive,5df4ed2eae7b303760a9d47c,89.16666666666667,100,95.33333333333333,88,73.33333333333333,"November 04, 2025"
2025-11-04 08:33:40,2025-11-04 08:38:00,IP Address,100,259,True,2025-11-04 08:38:01,R_3neYxO3PPE2nYp9,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,89,94,85,91,88,82,87,87,83,77,85,73,4,impressive,5ebb96b6cd673a0008ace9ce,85.08333333333333,89.33333333333333,85.66666666666667,87,78.33333333333333,"November 04, 2025"
2025-11-04 08:32:44,2025-11-04 08:38:01,IP Address,100,316,True,2025-11-04 08:38:01,R_3g0KmN2STWs1FTC,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,92,91,84,84,84,87,84,84,81,82,83,4,combination,6659a66af7c676a1655f8725,85.5,91,85,84,82,"November 04, 2025"
2025-11-04 08:34:50,2025-11-04 08:37:59,IP Address,100,188,True,2025-11-04 08:38:01,R_3rMzMoRJC1K4Z5v,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,100,100,100,90,90,80,70,85,65,3,random,673cd43cfac31b5664ed1042,90,100,86.66666666666667,100,73.33333333333333,"November 04, 2025"
2025-11-04 08:34:12,2025-11-04 08:38:03,IP Address,100,231,True,2025-11-04 08:38:03,R_3QGjvLZaAj51WEe,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,95,93,85,85,85,85,85,85,85,85,86,4,control,5cc8f511f24f6c001c1692a9,87,92.66666666666667,85,85,85.33333333333333,"November 04, 2025"
2025-11-04 08:31:47,2025-11-04 08:38:03,IP Address,100,375,True,2025-11-04 08:38:03,R_3RPxs2mwmN5Jy2O,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,80,90,80,60,70,70,100,80,80,75,70,80,3,combination,67ddd4f85ab870ffd90cc888,77.91666666666667,83.33333333333333,86.66666666666667,66.66666666666667,75,"November 04, 2025"
2025-11-04 08:33:42,2025-11-04 08:38:05,IP Address,100,262,True,2025-11-04 08:38:05,R_6aRmSbPPfz0sGEV,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,95,100,100,100,80,100,85,95,90,90,100,85,4,control,650b03136ab3d4c832d98b71,93.33333333333333,98.33333333333333,90,93.33333333333333,91.66666666666667,"November 04, 2025"
2025-11-04 08:33:18,2025-11-04 08:38:05,IP Address,100,286,True,2025-11-04 08:38:05,R_7ncGyIP54PRospu,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,100,100,80,80,100,100,90,90,80,80,70,4,control,673ce1632b059d0015e64962,88.33333333333333,96.66666666666667,93.33333333333333,86.66666666666667,76.66666666666667,"November 04, 2025"
2025-11-04 08:32:43,2025-11-04 08:38:05,IP Address,100,321,True,2025-11-04 08:38:05,R_745Vlln0Uteyc7O,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,87,90,90,80,93,90,50,50,50,89,90,61,5,impressive,649b2106b81f8dcf5d163ee5,76.66666666666667,89,50,87.66666666666667,80,"November 04, 2025"
2025-11-04 08:32:43,2025-11-04 08:38:06,IP Address,100,322,True,2025-11-04 08:38:06,R_74akvCc159GNte1,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,100,100,100,93,100,100,100,92,84,5,impressive,5bbf523d83f9790001ce549a,97.41666666666667,100,97.66666666666667,100,92,"November 04, 2025"
2025-11-04 08:33:42,2025-11-04 08:38:08,IP Address,100,265,True,2025-11-04 08:38:08,R_7OMyBe6URubOypu,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,91,90,91,90,90,91,91,92,90,80,85,80,5,impressive,673d23b251f56d0010aa50ee,88.41666666666667,90.66666666666667,91,90.33333333333333,81.66666666666667,"November 04, 2025"
2025-11-04 08:32:49,2025-11-04 08:38:11,IP Address,100,321,True,2025-11-04 08:38:11,R_5d9UzEqfAyP2EmZ,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,80,80,80,75,80,80,70,75,85,90,70,50,3,random,62d133496cf7f774b8bf98a0,76.25,80,76.66666666666667,78.33333333333333,70,"November 04, 2025"
2025-11-04 08:33:50,2025-11-04 08:38:16,IP Address,100,265,True,2025-11-04 08:38:17,R_33DZr6Mfa6Z16wy,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,81,84,82,75,71,68,90,74,71,89,81,78,4,control,6777d289f3eaa43bfd9c878c,78.66666666666667,82.33333333333333,78.33333333333333,71.33333333333333,82.66666666666667,"November 04, 2025"
2025-11-04 08:34:55,2025-11-04 08:38:22,IP Address,100,206,True,2025-11-04 08:38:23,R_3vaWX6jNnp1RxiF,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,91,100,75,75,90,100,100,100,80,91,81,4,control,5dd41772d3ac2a3f7235ee75,89.41666666666667,93.66666666666667,100,80,84,"November 04, 2025"
2025-11-04 08:31:47,2025-11-04 08:38:27,IP Address,100,399,True,2025-11-04 08:38:27,R_1NeUrusWNelvzxI,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,89,94,95,96,96,96,99,95,98,82,86,86,4,control,677da02dc68ea2b62a30b052,92.66666666666667,92.66666666666667,97.33333333333333,96,84.66666666666667,"November 04, 2025"
2025-11-04 08:32:15,2025-11-04 08:38:27,IP Address,100,372,True,2025-11-04 08:38:28,R_1HRn8BIHUR1czI4,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,97,96,98,84,84,85,73,87,88,90,88,88,3,random,67266c0ecff4ab3acc3b5a54,88.16666666666667,97,82.66666666666667,84.33333333333333,88.66666666666667,"November 04, 2025"
2025-11-04 08:32:55,2025-11-04 08:38:29,IP Address,100,333,True,2025-11-04 08:38:29,R_7pkZ5Qpf4EC0rPP,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,86,87,88,79,79,79,67,88,74,86,86,83,2,random,612962f44f151ddfd0298c52,81.83333333333333,87,76.33333333333333,79,85,"November 04, 2025"
